Gene Set Name	Description	No.Genes in Overlap (k)	No.query genes after removing redundancy	Category	No.Genes of this gene set	Overlap Genes	p value	FDR
5-(CARBOXYAMINO)IMIDAZOLE_RIBONUCLEOTIDE_MUTASE_ACTIVITY	GO:0034023   5-(carboxyamino)imidazole ribonucleotide mutase activity,    GOslim:molecular_function	1	736	MF	2	AT2G37690	0.0729714930725073	1
3-5-EXORIBONUCLEASE_ACTIVITY	GO:0000175   3'-5'-exoribonuclease activity,    GOslim:molecular_function	6	736	MF	11	AT5G14580//AT4G27490//AT3G60500//AT3G07750//AT3G46210//AT3G61620	2.30733949140432e-06	0.000271742803769748
AT4G26030_COL_A	AT4G26030_col_a(AT4G26030) Target genes predicted by DAP-seq	173	736	TFT	8528	AT5G19510//AT2G38195//AT5G60990//AT2G39020//AT2G40030//AT5G60670//AT1G65150//AT1G48570//AT3G62120//AT5G45140//AT4G29030//AT2G16650//AT3G15080//AT3G62870//AT1G51310//AT2G31610//AT1G73230//AT1G51380//AT1G71280//AT2G40700//AT5G25230//AT2G36070//AT1G32550//AT3G11400//AT1G63660//AT4G10620//AT2G19385//AT3G04770//AT1G36180//AT1G29720//AT3G55510//AT2G22490//AT3G61620//AT3G27180//AT3G12670//AT5G46790//AT1G71730//AT2G43650//AT5G06550//AT5G58420//AT5G02870//AT2G19730//AT2G21640//AT5G37130//AT3G48250//AT3G49140//AT4G24280//AT4G00620//AT5G17710//AT3G20000//AT3G57150//AT4G39040//AT3G12270//AT5G27120//AT3G60880//AT4G22720//AT4G21770//AT5G53540//AT5G62370//AT1G47490//AT2G37690//AT1G12920//AT3G26410//AT3G55280//AT2G03550//AT1G20220//AT1G42440//AT1G43170//AT1G73180//AT4G07410//AT5G46160//AT1G68660//AT1G20140//AT1G78750//AT1G30240//AT4G32400//AT1G18800//AT4G11211//AT4G15730//AT3G18140//AT2G20060//AT3G29633//AT4G31160//AT5G62270//AT1G21400//AT5G13280//AT3G26730//AT4G27640//AT1G09810//AT5G25800//AT3G03150//AT3G22120//AT5G24280//AT1G74060//AT1G27510//AT1G32580//AT2G39990//AT4G05410//AT2G43110//AT3G02790//AT3G16780//AT5G42980//AT2G20585//AT1G47820//AT4G28450//AT1G20370//AT1G77030//AT4G08868//AT4G30150//AT1G06380//AT2G38310//AT2G28000//AT5G34869//AT1G70160//AT1G72090//AT1G11070//AT4G13750//AT2G40360//AT5G09840//AT3G22310//AT3G20050//AT5G51540//AT1G57870//AT2G31660//AT2G19670//AT1G55040//AT5G55920//AT3G51750//AT3G16840//AT2G17670//AT2G44510//AT3G06200//AT1G15440//AT1G06720//AT3G22320//AT3G23620//AT3G54090//AT5G04150//AT1G67865//AT3G19210//AT2G34750//AT3G24780//AT1G52315//AT1G58380//AT3G27740//AT2G40450//AT4G37980//AT4G19130//AT1G57660//AT3G60960//AT1G08610//AT3G14600//AT5G14520//AT1G08910//AT4G01860//AT5G15810//AT3G62310//AT1G17880//AT1G62390//AT4G32720//AT1G79470//AT3G58660//AT5G39740//AT1G47500//AT4G31210//AT5G23710//AT1G64600//AT5G35910//AT4G14000//AT5G58370//AT3G11250//AT3G47580//AT1G17960	0.999899482191323	1
MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT	GO:0005763   mitochondrial small ribosomal subunit,    GOslim:cellular_component	1	736	CC	9	AT2G34520	0.223221637275166	1
AMINO_ACID_KINASE_ACTIVITY	GO:0019202   amino acid kinase activity,    GOslim:molecular_function	1	736	MF	10	AT5G13280	0.242600942212811	1
DDF2_COL_A	DDF2_col_a(AT1G63030) Target genes predicted by DAP-seq	4	736	TFT	314	AT3G57150//AT2G24560//AT2G46280//AT1G12250	0.958206220434751	1
ERF4_COLAMP_A	ERF4_colamp_a(AT3G15210) Target genes predicted by DAP-seq	246	736	TFT	7754	AT1G49760//AT1G51380//AT5G18790//AT1G60850//AT5G57050//AT1G48570//AT3G14390//AT3G27180//AT3G62870//AT1G28395//AT3G57660//AT5G42540//AT4G15850//AT1G50920//AT3G28270//AT3G12390//AT4G28200//AT3G11400//AT5G67220//AT3G07630//AT5G06110//AT2G40430//AT4G29410//AT4G05400//AT5G03740//AT3G04770//AT5G08540//AT1G36180//AT5G16930//AT1G29720//AT3G55510//AT1G15250//AT2G22490//AT2G35580//AT2G05915//AT4G37380//AT3G61620//AT3G23940//AT1G28530//AT5G19820//AT5G47930//AT4G34740//AT2G24120//AT2G28600//AT4G38150//AT3G03341//AT2G16650//AT1G67120//AT4G32400//AT4G02820//AT3G13940//AT5G47455//AT5G58610//AT1G31660//AT1G75200//AT1G25350//AT1G77940//AT4G31180//AT3G55690//AT5G40770//AT5G65860//AT5G27230//AT3G16310//AT1G34315//AT3G61630//AT3G01610//AT4G16630//AT1G27470//AT3G01345//AT3G60880//AT5G61880//AT4G22720//AT4G35490//AT1G65230//AT2G23070//AT5G62370//AT1G80620//AT1G64220//AT2G24050//AT1G10840//AT1G77550//AT2G24560//AT5G41660//AT2G03550//AT1G51310//AT4G25630//AT2G42720//AT3G52140//AT3G15640//AT3G51270//AT5G64420//AT3G49140//AT4G07410//AT2G39990//AT3G56490//AT5G11310//AT5G58130//AT4G29510//AT5G08620//AT5G57030//AT2G18220//AT3G10530//AT3G16650//AT5G56680//AT5G03090//AT4G24280//AT1G69070//AT1G17690//AT5G40200//AT4G11211//AT2G18900//AT4G15000//AT3G19440//AT5G27640//AT4G15730//AT2G04390//AT2G29200//AT4G00620//AT1G49920//AT2G17250//AT3G60960//AT3G03150//AT5G05450//AT4G27640//AT1G27390//AT1G09810//AT5G25800//AT2G34970//AT4G24830//AT1G03910//AT1G74060//AT5G22440//AT3G12270//AT1G06380//AT3G49180//AT1G62390//AT5G19300//AT3G49990//AT2G43110//AT3G60980//AT1G15930//AT2G38310//AT1G20370//AT2G45670//AT3G28500//AT4G16215//AT4G30150//AT3G49660//AT1G18540//AT3G04600//AT3G02790//AT5G15360//AT5G34869//AT1G29940//AT4G26600//AT1G06670//AT5G48240//AT4G17840//AT3G01160//AT4G19130//AT5G09840//AT1G49540//AT5G40490//AT3G47450//AT3G60500//AT3G09630//AT5G41190//AT3G03920//AT1G14810//AT3G22310//AT5G52520//AT5G35760//AT2G36070//AT1G23280//AT4G25730//AT2G31660//AT3G54090//AT5G11840//AT1G48400//AT3G58470//AT5G66400//AT3G53630//AT5G46790//AT3G58660//AT5G14490//AT1G03110//AT4G21770//AT2G35240//AT3G16840//AT1G75240//AT2G17670//AT5G49560//AT5G13940//AT3G06200//AT4G34265//AT1G15440//AT3G49240//AT1G68990//AT1G63810//AT5G23250//AT1G67865//AT3G20330//AT5G44320//AT1G20400//AT5G46430//AT5G20290//AT5G15550//AT5G42030//AT2G39670//AT5G27470//AT2G40450//AT4G31160//AT2G19640//AT1G57660//AT3G02760//AT2G44120//AT3G11410//AT1G14610//AT1G47490//AT2G04030//AT2G37990//AT3G05030//AT3G56990//AT5G45095//AT3G20000//AT5G02050//AT5G18570//AT4G01860//AT5G15810//AT1G01250//AT4G23540//AT2G06990//AT2G34570//AT1G14060//AT2G45280//AT4G15770//AT3G11964//AT5G04800//AT1G47500//AT1G08190//AT5G06360//AT1G64600//AT1G07430//AT2G20060//AT3G11250//AT5G25780	7.6359829597602e-05	0.00736132276657631
CHLOROPLAST_INNER_MEMBRANE	GO:0009706   chloroplast inner membrane,    GOslim:cellular_component	3	736	CC	49	AT1G29395//AT5G18570//AT5G16620	0.139949479206569	1
MAINTENANCE_OF_FLORAL_MERISTEM_IDENTITY	GO:0010076   maintenance of floral meristem identity,    GOslim:biological_process	1	736	BP	8	AT2G03710	0.203347171761522	1
ENZYME_INHIBITOR_ACTIVITY	GO:0004857   enzyme inhibitor activity,    GOslim:molecular_function	1	736	MF	179	AT2G35580	0.989539219092856	1
HISTONE_H3-R17_METHYLATION	GO:0034971   histone H3-R17 methylation,    GOslim:biological_process	1	736	BP	2	AT3G06930	0.0729714930725073	1
CELL_PART_MORPHOGENESIS	GO:0032990   cell part morphogenesis,    GOslim:biological_process	1	736	BP	5	AT4G05410	0.140624852055019	1
AP2_CONFIRMED	Confirmed target genes of transcription factor: AP2	3	736	TFT	165	AT1G72320//AT3G16650//AT2G33380	0.792913091225356	1
ABF2_COL_V3A	ABF2_col_v3a(AT1G45249) Target genes predicted by DAP-seq	35	736	TFT	2112	AT5G40670//AT3G61630//AT4G29200//AT4G16630//AT1G27470//AT1G28395//AT5G51020//AT5G07090//AT3G24780//AT4G30150//AT1G42440//AT4G24480//AT2G38310//AT5G40490//AT3G11400//AT3G05030//AT4G21490//AT1G11070//AT2G41190//AT1G36180//AT1G01250//AT2G33380//AT5G57050//AT1G62390//AT3G20300//AT1G19150//AT3G03630//AT5G51330//AT5G37490//AT1G08190//AT5G60360//AT3G49140//AT1G79150//AT3G56490//AT4G38810	0.998072324614093	1
REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	GO:0090066   regulation of anatomical structure size,    GOslim:biological_process	2	736	BP	746	AT1G68990//AT5G40770	0.999999899248804	1
OXIDOREDUCTASE_ACTIVITY,_ACTING_ON_THE_CH-OH_GROUP_OF_DONORS,_NAD_OR_NADP_AS_ACCEPTOR	GO:0016616   oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,    GOslim:molecular_function	3	736	MF	185	AT5G63890//AT1G79470//AT4G37980	0.85083442324952	1
CAMTA5_COL_A	CAMTA5_col_a(AT4G16150) Target genes predicted by DAP-seq	5	736	TFT	673	AT3G57150//AT5G35760//AT2G40430//AT4G19210//AT5G11310	0.999845294255304	1
DNA_METABOLIC_PROCESS	GO:0006259   DNA metabolic process,    GOslim:biological_process	21	736	BP	785	AT5G58130//AT5G41360//AT2G40700//AT4G31210//AT2G40030//AT2G22490//AT1G49540//AT2G42720//AT2G45280//AT5G27620//AT5G51330//AT5G61880//AT4G19130//AT3G26730//AT1G30680//AT4G04670//AT5G64420//AT3G19210//AT5G15610//AT1G06670//AT5G24280	0.450125818999527	1
CELLULAR_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	GO:0034614   cellular response to reactive oxygen species,    GOslim:biological_process	3	736	BP	88	AT5G60360//AT1G10500//AT1G05680	0.396865213304121	1
NUCLEAR_ENVELOPE	GO:0005635   nuclear envelope,    GOslim:cellular_component	4	736	CC	76	AT3G63130//AT4G27640//AT3G57350//AT2G31660	0.139449492622852	1
PRODUCTION_OF_MIRNAS_INVOLVED_IN_GENE_SILENCING_BY_MIRNA	GO:0035196   production of miRNAs involved in gene silencing by miRNA,    GOslim:biological_process	5	736	BP	130	AT2G06990//AT3G01610//AT4G28200//AT1G79950//AT3G57290	0.24790321438701	1
ANTIPORTERS_SODIUM_PROTON_EXCHANGER_FAMILY	Antiporters ,Sodium proton exchanger family	1	736	OTH	4	AT3G05030	0.118640141978985	1
GAMETOPHYTE_DEVELOPMENT	GO:0048229   gametophyte development,    GOslim:biological_process	53	736	BP	524	AT1G72440//AT1G79150//AT1G03360//AT1G51380//AT1G15440//AT3G22120//AT5G41190//AT5G45140//AT5G61880//AT2G34260//AT5G19300//AT3G12860//AT1G80620//AT2G37690//AT4G15850//AT2G40030//AT3G56990//AT3G49240//AT4G37090//AT1G03860//AT2G40700//AT5G62440//AT5G15610//AT3G23940//AT2G47990//AT3G01160//AT4G36580//AT5G22320//AT1G49540//AT2G45280//AT4G28200//AT2G34900//AT3G62310//AT5G52520//AT1G17690//AT4G32720//AT2G20490//AT2G28600//AT3G11964//AT3G60360//AT4G02820//AT2G03670//AT3G48250//AT1G31660//AT4G27010//AT5G35910//AT1G52930//AT5G63890//AT2G16570//AT4G31180//AT5G17270//AT3G12270//AT4G05410	3.90814836245145e-16	8.12485824308524e-14
ANTIOXIDANT_ACTIVITY	GO:0016209   antioxidant activity,    GOslim:molecular_function	1	736	MF	142	AT1G73680	0.973229475880874	1
ABSCISIC_ACID_BINDING	GO:0010427   abscisic acid binding,    GOslim:molecular_function	1	736	MF	7	AT5G46790	0.182964911477741	1
COA_HYDROLASE_ACTIVITY	GO:0016289   CoA hydrolase activity,    GOslim:molecular_function	1	736	MF	18	AT4G31810	0.38122561948154	1
RVE1_COL_A	RVE1_col_a(AT5G17300) Target genes predicted by DAP-seq	282	736	TFT	15403	AT1G72440//AT1G49760//AT2G39020//AT2G40030//AT5G16620//AT1G60850//AT1G65150//AT5G45140//AT1G64550//AT1G80270//AT2G34260//AT1G18850//AT2G27840//AT3G57660//AT5G42540//AT2G24500//AT5G26270//AT1G71280//AT4G15850//AT5G25230//AT3G28270//AT5G28235//AT1G48630//AT1G16960//AT1G09760//AT5G17270//AT1G29940//AT1G71770//AT1G63660//AT4G10620//AT2G40430//AT4G29410//AT2G40510//AT3G04770//AT2G41840//AT4G16720//AT4G36580//AT3G45430//AT4G27490//AT5G15750//AT3G01600//AT1G29720//AT1G74870//AT3G55510//AT2G22490//AT5G64420//AT2G05915//AT5G39840//AT1G17470//AT4G04670//AT5G57050//AT3G23940//AT1G73700//AT5G55920//AT5G19820//AT5G47930//AT2G37990//AT1G79190//AT2G28600//AT3G27710//AT2G16650//AT2G19730//AT2G21640//AT1G72370//AT1G30580//AT3G13940//AT5G39850//AT2G03670//AT5G37130//AT3G48250//AT4G27010//AT1G75200//AT2G34357//AT5G56680//AT4G31180//AT5G40770//AT4G02930//AT5G17710//AT1G64600//AT3G51800//AT3G16310//AT2G18180//AT3G61630//AT3G01610//AT4G16630//AT3G01345//AT5G27230//AT4G39300//AT5G53540//AT1G07920//AT5G27620//AT1G80620//AT1G47490//AT2G03820//AT1G09810//AT3G26410//AT2G05160//AT5G41660//AT5G67240//AT1G42440//AT4G25630//AT3G52140//AT5G60360//AT3G15640//AT3G51270//AT4G10480//AT4G07410//AT2G39990//AT5G46160//AT5G11310//AT4G16180//AT1G10500//AT4G29510//AT5G08620//AT2G15000//AT1G73680//AT2G18220//AT3G10530//AT3G51750//AT1G78750//AT1G30240//AT1G69070//AT1G18800//AT3G13580//AT3G19440//AT2G45310//AT4G31810//AT2G10440//AT4G15730//AT5G65860//AT2G03710//AT3G29633//AT5G51330//AT1G72090//AT1G21400//AT5G05450//AT3G62940//AT3G55620//AT5G20890//AT5G60260//AT4G36130//AT5G25800//AT2G34970//AT4G37910//AT2G03130//AT3G22120//AT5G24280//AT3G58270//AT4G29200//AT5G22440//AT3G49660//AT1G32580//AT4G05380//AT3G58660//AT3G60980//AT5G42980//AT2G21450//AT1G62540//AT4G28450//AT1G18540//AT5G41360//AT2G40700//AT2G45670//AT3G23480//AT2G05440//AT4G30150//AT1G09640//AT2G04050//AT5G60250//AT1G29900//AT3G06530//AT4G24480//AT3G49500//AT1G06670//AT5G48240//AT2G40570//AT3G11710//AT3G05130//AT3G01160//AT5G37440//AT4G13750//AT2G40360//AT2G36160//AT2G18020//AT5G40490//AT4G19210//AT5G27330//AT3G62870//AT2G34900//AT3G02080//AT4G05400//AT3G20050//AT5G52520//AT5G35760//AT2G36070//AT5G65850//AT2G21440//AT2G31660//AT4G30990//AT3G54090//AT5G11840//AT1G24148//AT5G66400//AT4G11420//AT3G11964//AT5G14490//AT4G31700//AT4G04940//AT1G79150//AT3G60360//AT3G27180//AT1G75240//AT3G57940//AT1G67120//AT5G58420//AT5G13940//AT2G20060//AT3G54730//AT3G21950//AT5G62370//AT3G49240//AT1G07940//AT3G22320//AT3G23620//AT3G57350//AT1G68990//AT2G46230//AT1G63810//AT5G09510//AT5G04150//AT2G24255//AT5G46430//AT4G04030//AT1G52315//AT3G02560//AT3G04920//AT2G06420//AT1G30960//AT3G12670//AT1G26470//AT1G74560//AT1G36180//AT1G03860//AT1G14610//AT1G08610//AT5G52650//AT2G19385//AT3G05030//AT5G08180//AT1G29965//AT5G13830//AT3G16810//AT1G74050//AT5G45095//AT3G56070//AT3G03920//AT1G07930//AT4G01860//AT5G15810//AT1G01250//AT3G56490//AT3G12080//AT4G32720//AT3G20300//AT1G79470//AT2G45280//AT2G16570//AT4G15770//AT1G22780//AT3G06930//AT1G26630//AT4G31210//AT1G08190//AT3G11410//AT2G23350//AT1G23410//AT5G35910//AT1G07430//AT4G37380//AT5G10240//AT5G25780//AT1G17960	1	1
GATA19_COL_A	GATA19_col_a(AT4G36620) Target genes predicted by DAP-seq	3	736	TFT	199	AT2G18110//AT5G44320//AT1G08910	0.882483412059929	1
POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	GO:0051247   positive regulation of protein metabolic process,    GOslim:biological_process	1	736	BP	26	AT1G26630	0.494506277533115	1
DOF2.4_COL_A	dof2.4_col_a(AT2G37590) Target genes predicted by DAP-seq	212	736	TFT	12278	AT1G49760//AT1G51380//AT2G40030//AT5G60670//AT1G17560//AT3G62120//AT2G33380//AT2G30770//AT3G62870//AT2G34260//AT1G28395//AT3G21540//AT2G19540//AT5G45570//AT1G57660//AT4G15850//AT1G16960//AT1G09760//AT2G46280//AT1G29940//AT1G63660//AT5G20600//AT1G57720//AT2G40430//AT2G19385//AT5G03740//AT5G11410//AT4G16720//AT4G36580//AT3G45430//AT4G27490//AT5G15750//AT3G01600//AT4G09800//AT4G13150//AT2G35580//AT4G37380//AT4G38810//AT4G04670//AT3G61620//AT3G23940//AT5G19820//AT1G64880//AT2G28600//AT3G03341//AT5G14610//AT2G21640//AT5G37130//AT5G39850//AT1G25350//AT1G77940//AT3G04600//AT5G40770//AT4G02930//AT5G17710//AT3G10610//AT4G21140//AT5G24840//AT2G18180//AT4G39040//AT5G44490//AT2G18020//AT5G41190//AT3G60880//AT2G23070//AT5G59390//AT1G80620//AT3G57660//AT1G47490//AT5G14580//AT3G26410//AT2G24560//AT1G20220//AT1G42440//AT4G25630//AT1G65150//AT1G73180//AT3G07630//AT4G10480//AT2G04070//AT4G07410//AT3G56490//AT2G44120//AT4G16180//AT4G37910//AT5G37440//AT5G08620//AT3G55620//AT1G20140//AT1G73680//AT2G18220//AT3G16650//AT5G01445//AT4G32400//AT4G11211//AT2G45310//AT5G27640//AT4G15730//AT4G08868//AT2G29200//AT5G03390//AT2G03710//AT3G29633//AT3G60960//AT5G52820//AT3G03150//AT5G60260//AT1G09810//AT5G25800//AT2G27402//AT5G57050//AT5G24280//AT1G74060//AT4G29200//AT5G22440//AT2G20060//AT1G12250//AT3G60980//AT1G70440//AT2G21450//AT2G38310//AT1G20370//AT4G15640//AT2G45670//AT4G30150//AT2G04050//AT1G32550//AT5G56810//AT1G29900//AT3G06530//AT5G45140//AT2G18193//AT3G11710//AT1G11070//AT4G13750//AT2G40360//AT3G60500//AT2G34900//AT3G02080//AT4G05400//AT5G57490//AT5G52520//AT5G35760//AT2G36070//AT5G08540//AT4G30990//AT5G11840//AT3G58470//AT5G58610//AT5G46790//AT3G58660//AT5G14490//AT3G55010//AT3G60360//AT3G51750//AT1G75240//AT1G67120//AT5G17270//AT3G12270//AT3G21950//AT1G02750//AT1G80410//AT5G23250//AT1G67865//AT3G56570//AT3G20330//AT5G44320//AT3G57000//AT3G24780//AT4G04030//AT4G32510//AT3G04920//AT3G27740//AT2G05440//AT1G73490//AT3G12670//AT2G24255//AT1G74560//AT3G02760//AT3G11410//AT5G06110//AT4G35490//AT3G62460//AT1G29965//AT3G51130//AT1G64050//AT5G45095//AT5G41970//AT5G02050//AT1G07930//AT1G01250//AT3G55510//AT2G34570//AT1G34030//AT1G80750//AT1G67870//AT3G20300//AT1G79470//AT2G37270//AT5G08180//AT3G11964//AT5G39740//AT1G47500//AT3G11250//AT1G08190//AT5G06360//AT5G35910//AT3G13470//AT1G07430//AT5G58370//AT3G55280//AT1G17960	0.999999999999994	1
CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS	GO:0044262   cellular carbohydrate metabolic process,    GOslim:biological_process	27	736	BP	1771	AT4G37910//AT4G39040//AT1G64550//AT1G65230//AT1G62540//AT5G27470//AT1G74560//AT1G32550//AT3G15640//AT1G18080//AT1G29900//AT4G27640//AT3G52140//AT3G47450//AT5G20890//AT3G20050//AT1G19150//AT1G67120//AT2G35500//AT5G39740//AT1G30580//AT1G26630//AT5G60360//AT3G49140//AT1G72370//AT4G31180//AT5G46790	0.998881890828222	1
RNA_BINDING	GO:0003723   RNA binding,    GOslim:molecular_function	82	736	MF	1331	AT1G06560//AT1G49760//AT5G39740//AT1G06380//AT5G04600//AT3G13230//AT3G57150//AT4G39040//AT4G10450//AT5G22440//AT1G58684//AT5G35530//AT5G39850//AT5G09510//AT2G31610//AT3G58660//AT5G07090//AT2G17360//AT2G24050//AT1G67680//AT5G20160//AT1G71280//AT5G14580//AT2G05160//AT3G55280//AT1G30960//AT1G73490//AT4G25630//AT5G15810//AT3G07750//AT3G11400//AT1G71770//AT3G16810//AT1G08360//AT3G03920//AT5G08180//AT5G52470//AT5G58420//AT5G58130//AT1G59359//AT4G21770//AT1G58380//AT3G11964//AT5G08620//AT4G27490//AT5G15750//AT3G48500//AT1G64880//AT4G09800//AT1G03530//AT3G19440//AT1G72320//AT1G77030//AT3G22310//AT3G61620//AT1G20370//AT1G34030//AT1G47500//AT2G21440//AT5G27640//AT2G41840//AT2G20490//AT4G26600//AT4G15770//AT1G22780//AT5G58610//AT5G60960//AT4G32720//AT3G27550//AT2G29200//AT3G11940//AT1G47490//AT1G26630//AT2G37270//AT5G40490//AT2G23350//AT3G60500//AT5G55920//AT4G12600//AT1G58983//AT5G25780//AT3G46210	1.15201361367544e-12	2.04017035836985e-10
SIGNAL_RECOGNITION_PARTICLE	GO:0048500   signal recognition particle,    GOslim:cellular_component	1	736	CC	14	AT1G67680	0.315408414861951	1
LATERAL_ROOT_DEVELOPMENT	GO:0048527   lateral root development,    GOslim:biological_process	5	736	BP	120	AT1G74560//AT3G63130//AT4G07410//AT5G40770//AT1G18800	0.202546642816113	1
EF-HAND_CONTAINING_PROTEINS_GROUP_III	EF-hand containing proteins ,Group III	1	736	OTH	40	AT4G38810	0.645204003855328	1
TGA10_COLAMP_A	TGA10_colamp_a(AT5G06839) Target genes predicted by DAP-seq	82	736	TFT	4287	AT3G22120//AT1G64660//AT5G04150//AT4G24830//AT5G40670//AT5G24280//AT5G47455//AT4G16630//AT1G07920//AT4G29030//AT4G05380//AT2G30770//AT5G54910//AT5G14490//AT5G23250//AT1G18800//AT3G21540//AT5G42540//AT3G20440//AT5G07090//AT4G35490//AT3G16310//AT5G11270//AT1G49920//AT5G41360//AT1G12920//AT3G56990//AT2G24560//AT3G57660//AT3G60880//AT4G19130//AT3G61630//AT5G16750//AT1G29940//AT2G28000//AT5G67220//AT4G10480//AT1G57720//AT2G40430//AT1G63780//AT5G22650//AT5G48240//AT3G57940//AT1G67680//AT1G72090//AT3G56150//AT1G55040//AT5G09840//AT3G52140//AT1G03530//AT5G60250//AT4G01860//AT2G18190//AT1G01250//AT4G23540//AT4G38810//AT2G47790//AT3G26230//AT5G52520//AT4G15850//AT5G18570//AT2G31660//AT4G00930//AT1G79470//AT2G24120//AT1G48400//AT2G39990//AT5G49560//AT3G03630//AT1G30580//AT4G01037//AT5G37490//AT5G60360//AT3G49140//AT3G56490//AT5G35910//AT2G34357//AT3G51750//AT1G72370//AT2G17670//AT5G40770//AT1G30170	0.998579896986565	1
LIPID_MODIFICATION	GO:0030258   lipid modification,    GOslim:biological_process	1	736	BP	222	AT4G31810	0.9964953991416	1
ANAC062_COL	ANAC062_col(AT3G49530) Target genes predicted by DAP-seq	70	736	TFT	3880	AT4G36130//AT5G17710//AT5G55510//AT5G24840//AT5G24280//AT5G22320//AT2G39850//AT1G12250//AT5G39850//AT2G16570//AT5G04150//AT5G51020//AT5G27230//AT5G07090//AT1G80620//AT3G57660//AT1G20400//AT4G13750//AT2G03820//AT4G32510//AT3G26410//AT4G31810//AT5G37490//AT3G58270//AT4G24480//AT3G55620//AT5G16750//AT5G52650//AT3G51270//AT1G57720//AT2G18193//AT1G69070//AT5G46160//AT3G04770//AT5G58130//AT5G53860//AT4G11420//AT1G52980//AT3G01600//AT1G73680//AT1G08910//AT3G55510//AT5G23300//AT1G68660//AT1G32870//AT1G70440//AT2G24120//AT3G61620//AT2G34570//AT1G23410//AT5G51540//AT2G18900//AT5G41765//AT1G79190//AT2G45310//AT5G08540//AT2G10440//AT1G67120//AT2G21640//AT5G14490//AT1G06670//AT4G31210//AT4G19210//AT4G31700//AT1G64600//AT1G55040//AT1G04170//AT1G77940//AT2G40010//AT3G56490	0.999543194471371	1
Chromatin_associated_factor_NFA	NUCLEOSOME ASSEMBLY PROTEIN1; DNA binding	2	736	Caf	6	AT1G74560//AT1G18800	0.0157408221695143	0.847592359236379
BZIP3_COL_A	bZIP3_col_a(AT5G15830) Target genes predicted by DAP-seq	123	736	TFT	6440	AT1G64660//AT5G40670//AT2G33380//AT1G28395//AT5G07090//AT5G42540//AT2G36070//AT4G15850//AT3G12390//AT5G16750//AT3G06530//AT2G21440//AT5G67220//AT5G20600//AT5G22650//AT2G25640//AT3G16810//AT1G36180//AT4G37380//AT4G38810//AT5G57050//AT5G19820//AT3G14700//AT1G19150//AT5G60360//AT3G49140//AT1G72320//AT4G31180//AT3G56490//AT5G40490//AT3G61630//AT3G03630//AT4G16630//AT1G27470//AT3G60880//AT1G07920//AT3G57660//AT4G35490//AT2G03820//AT2G05160//AT1G48920//AT4G24480//AT3G15640//AT1G09620//AT5G58130//AT4G16180//AT4G29510//AT5G08620//AT1G52980//AT5G18570//AT1G69070//AT3G13882//AT5G55920//AT3G27550//AT2G03710//AT5G51330//AT4G31160//AT1G21400//AT4G27640//AT5G60260//AT1G03910//AT5G24280//AT4G29200//AT2G39990//AT1G12250//AT5G19300//AT5G51020//AT2G20585//AT4G08868//AT2G38310//AT3G11400//AT2G18193//AT1G06670//AT1G70160//AT1G72090//AT5G09840//AT3G54730//AT3G20050//AT5G35760//AT5G51540//AT1G71770//AT2G31660//AT3G22860//AT5G11840//AT4G21490//AT3G58470//AT5G66400//AT3G53630//AT1G79150//AT3G51750//AT5G49560//AT5G13940//AT1G30160//AT1G63810//AT5G23250//AT3G56570//AT3G24780//AT1G49920//AT2G05440//AT1G73490//AT3G11410//AT3G05030//AT1G64600//AT1G64050//AT3G03150//AT2G37690//AT2G41190//AT5G02050//AT5G15810//AT1G01250//AT4G23540//AT1G62390//AT3G12080//AT4G32720//AT3G20300//AT2G25625//AT1G29395//AT5G37490//AT1G08190//AT1G30170//AT2G23350//AT3G13470//AT1G07430	0.999930935621792	1
SERYL-TRNA_AMINOACYLATION	GO:0006434   seryl-tRNA aminoacylation,    GOslim:biological_process	1	736	BP	2	AT5G27470	0.0729714930725073	1
